Date,Stock1,Stock2
08/21/92,904697,334921
08/28/92,897561,327469
09/04/92,899171,329079
09/11/92,898718,328396
09/18/92,899554,329232
09/25/92,894820,324498
10/02/92,899038,327598
10/09/92,898257,326819
10/16/92,902365,329063
10/23/92,903390,330088
10/30/92,906997,333494
11/06/92,900828,327253
11/13/92,893787,320212
11/20/92,899605,325768
11/27/92,901152,327315
12/04/92,900417,326580
12/11/92,906191,332152
12/18/92,906226,331833
12/25/92,894606,320044
01/01/93,895272,320634
01/08/93,892725,318002
01/15/93,900910,325933
01/22/93,899912,324767
01/29/93,902016,326769
02/05/93,905905,330592
02/12/93,912594,337283
02/19/93,902543,326961
02/26/93,910565,334844
03/05/93,916591,340785
03/12/93,922409,346392
03/19/93,910044,333210
03/26/93,918486,341108
04/02/93,919233,341627
04/09/93,931744,353151
04/16/93,922484,343891
04/23/93,924826,344986
04/30/93,929168,347683
05/07/93,929794,348105
05/14/93,935259,353557
05/21/93,938625,356671
05/28/93,934890,352853
06/04/93,933213,351092
06/11/93,925297,343178
06/18/93,934856,352431
06/25/93,941146,358721
07/02/93,933093,350567
07/09/93,936743,353989
07/16/93,945094,362155
07/23/93,939567,356628
07/30/93,935150,352211
08/06/93,936340,353008
08/13/93,932089,348502
08/20/93,927528,343775
08/27/93,928968,345131
09/03/93,922649,338562
09/10/93,923971,339884
09/17/93,924856,339673
09/24/93,915655,330147
10/01/93,913275,327688
10/08/93,917604,331946
10/15/93,912982,327072
10/22/93,920490,334497
10/29/93,922360,336281
11/05/93,919541,333462
11/12/93,924721,338473
11/19/93,919529,332961
11/26/93,920981,334354
12/03/93,926580,339787
12/10/93,932909,346115
12/17/93,935409,348525
12/24/93,935241,348357
12/31/93,928838,341820
01/07/94,921980,334900
01/14/94,921786,334706
01/21/94,916374,329228
01/28/94,919482,332318
02/04/94,923416,336224
02/11/94,919061,331869
02/18/94,922089,334897
02/25/94,914907,327715
03/04/94,922612,335419
03/11/94,917536,330343
03/18/94,931415,342246
03/25/94,926284,337115
04/01/94,926480,337311
04/08/94,928082,337826
04/15/94,930936,339757
04/22/94,931014,339835
04/29/94,931924,340745
05/06/94,925958,334779
05/13/94,925014,333841
05/20/94,926668,335495
05/27/94,925574,334401
06/03/94,920838,329665
06/10/94,918034,326856
06/17/94,916467,325289
06/24/94,919946,328768
07/01/94,920916,329738
07/08/94,921581,329912
07/15/94,924763,333094
07/22/94,928021,336351
07/29/94,922169,330499
08/05/94,919519,327846
08/12/94,922633,330961
08/19/94,919797,328124
08/26/94,917353,325680
09/02/94,917129,325456
09/09/94,916869,325194
09/16/94,918324,326649
09/23/94,924219,332544
09/30/94,927490,335815
10/07/94,926480,334805
10/14/94,930921,339245
10/21/94,929092,337416
10/28/94,938427,346751
11/04/94,937361,345685
11/11/94,936631,344957
11/18/94,933653,341979
11/25/94,931181,339507
12/02/94,930787,339113
12/09/94,929298,337625
12/16/94,928643,336970
12/23/94,929329,337656
12/30/94,921939,330266
01/06/95,923873,332200
01/13/95,922588,330918
01/20/95,916174,324504
01/27/95,915893,324223
02/03/95,919046,327376
02/10/95,912713,321042
02/17/95,920076,328405
02/24/95,914505,322834
03/03/95,917023,325352
03/10/95,917510,325837
03/17/95,918049,326376
03/24/95,922099,330426
03/31/95,929860,338187
